Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Trụ sở hành chính 1	Địa chỉ trụ sở hành chính 1	Full Address 1	Latitude 1	Longitude 1	Trụ sở hành chính 2	Địa chỉ trụ sở hành chính 2	Full Address 2	Latitude 2	Longitude 2	Ghi chú trụ sở
Long Hải	83	Xã	109149	27.93	3907.95	Thị trấn Long Hải, Xã Phước Tỉnh, Xã Phước Hưng (H. Long Đất)		phường Phước Thắng, xã Long Điền, xã Phước Hải và Biển Đông	UBND Thị trấn Long Hải	đường Hùng Vương, thị trấn Long Hải, huyện Long Đất	UBND Thị trấn Long Hải đường Hùng Vương, thị trấn Long Hải, huyện Long Đất 	10.4041001	107.2301996			  			
Long Hoà	84	Xã	25215	166.76	151.21	Xã Long Tân (H. Dầu Tiếng), Xã Long Hoà (H. Dầu Tiếng)	Xã Minh Tân (H. Dầu Tiếng), Xã Minh Thạnh (H. Dầu Tiếng)	xã Trừ Văn Thố, xã Bàu Bàng, xã Dầu Tiếng, xã Thanh An, xã Minh Thạnh, phường Long Nguyên và tỉnh Đồng Nai	UBND xã Long Hòa	đường DT749, xã Long Hoà, huyện Dầu Tiếng	UBND xã Long Hòa đường DT749, xã Long Hoà, huyện Dầu Tiếng 	11.3145054	106.4918309			  			
Long Hương	85	Phường	31457	41.22	763.15	Phường Kim Dinh (TP. Bà Rịa), Phường Long Hương (TP. Bà Rịa), Xã Tân Hưng (TP. Bà Rịa)		phường Bà Rịa, phường Tam Long, phường Tân Hải, phường Phước Thắng, xã Long Sơn, xã Châu Pha và xã Nghĩa Thành	UBND Phường Kim Dinh	đường Trịnh Đình Thảo, khu phố Kim Sơn, phường Kim Dinh, TP.Bà Rịa	UBND Phường Kim Dinh đường Trịnh Đình Thảo, khu phố Kim Sơn, phường Kim Dinh, TP.Bà Rịa 	10.4992113	107.1307289			  			
Long Nguyên	86	Phường	53387	108	494.32	Xã Long Nguyên (H. Bàu Bàng), Phường An Điền (TP. Bến Cát)	Phường Mỹ Phước (TP. Bến Cát)	phường Bến Cát, phường Thới Hoà, phường Tây Nam, phường Phú An, xã Long Hoà, xã Bàu Bàng và xã Thanh An	UBND phường An Điền	đường Hùng Vương, phường An Điền, TP.Bến Cát	UBND phường An Điền đường Hùng Vương, phường An Điền, TP.Bến Cát 	11.1478979	106.5594687			  			
Long Phước	87	Phường	53092	34.29	1548.32	Phường Long Phước (TP. Thủ Đức), Phường Trường Thạnh (TP. Thủ Đức)		phường Long Bình, phường Long Trường, phường Tăng Nhơn Phú và tỉnh Đồng Nai	UBND phường Long Phước	số 239 khu phố Long Thuận, phường Long Phước, TP.Thủ Đức	UBND phường Long Phước số 239 khu phố Long Thuận, phường Long Phước, TP.Thủ Đức 	10.80931	106.8595997			  			
Long Sơn	88	Xã	17767	56.5	314.46	Xã Long Sơn (TP. Vũng Tàu) (giữ nguyên)		phường Phước Thắng, phường Long Hương, phường Tân Hải và Biển Đông	UBND xã Long Sơn	thôn 1, xã Long Sơn, TP.Vũng Tàu	UBND xã Long Sơn thôn 1, xã Long Sơn, TP.Vũng Tàu 	10.4636855	107.0842161			  			
Long Trường	89	Phường	73669	24.49	3008.13	Phường Long Trường (TP. Thủ Đức), Phường Phú Hữu (TP. Thủ Đức)		phường Long Phước, phường Bình Trưng, phường Cát Lái, phường Tăng Nhơn Phú, phường Phước Long và tỉnh Đồng Nai	UBND phường Long Trường	số 1341 Nguyễn Duy Trinh, phường Long Trường, TP.Thủ Đức	UBND phường Long Trường số 1341 Nguyễn Duy Trinh, phường Long Trường, TP.Thủ Đức 	10.8053765	106.8166739			  			
Minh Phụng	90	Phường	90808	1.27	71502.36	Phường 1 (Quận 11), Phường 7 (Quận 11), Phường 16 (Quận 11)		phường Bình Thới, phường Phú Thọ, phường Chợ Lớn, phường Bình Tây, phường Phú Lâm, phường Diên Hồng	UBND phường 7	số 183A Lý Nam Đế, phường 7, quận 11	UBND phường 7 số 183A Lý Nam Đế, phường 7, quận 11 	10.7593705	106.6613602			  			
Minh Thạnh	91	Xã	24215	159.06	152.24	Xã Minh Hoà (H. Dầu Tiếng)	Xã Minh Tân (H. Dầu Tiếng), Xã Minh Thạnh (H. Dầu Tiếng)	xã Long Hoà, xã Dầu Tiếng, tỉnh Đồng Nai và tỉnh Tây Ninh	UBND xã Minh Hòa	ấp 3, xã Minh hòa, huyện Dầu Tiếng	UBND xã Minh Hòa ấp 3, xã Minh hòa, huyện Dầu Tiếng 	11.4468432	106.4835457			  			
Ngãi Giao	92	Xã	49065	69.3	708.01	Thị trấn Ngãi Giao, Xã Bình Ba, Xã Suối Nghệ (H. Châu Đức)		xã Bình Giã, xã Kim Long, phường Tân Thành, xã Châu Pha và xã Nghĩa Thành	UBND huyện Châu Đức	số 70 Trần Hưng Đạo, thị trấn Ngãi Giao, huyện Châu Đức	UBND huyện Châu Đức số 70 Trần Hưng Đạo, thị trấn Ngãi Giao, huyện Châu Đức 	10.6552529	107.243237			  			
Nghĩa Thành	93	Xã	27819	65.67	423.63	Xã Đá Bạc (H. Châu Đức), Xã Nghĩa Thành (H. Châu Đức)		phường Long Hương, phường Tam Long, xã Đất Đỏ, xã Xuân Sơn, xã Bình Giã, xã Ngãi Giao và xã Châu Pha	UBND Xã Nghĩa Thành	tổ 6, thôn Sông Cầu, xã Nghĩa Thành, huyện Châu Đức	UBND Xã Nghĩa Thành tổ 6, thôn Sông Cầu, xã Nghĩa Thành, huyện Châu Đức 	10.5677597	107.211463			  			
Nhà Bè	94	Xã	125832	37.1	3391.7	Thị trấn Nhà Bè, Xã Phú Xuân, Xã Phước Kiển, Xã Phước Lộc (H. Nhà Bè)		xã Hiệp Phước, phường Phú Thuận, phường Tân Hưng, phường Tân Mỹ, xã Bình Hưng và tỉnh Đồng Nai	UBND huyện Nhà Bè	số 330 Nguyễn Bình, xã Phú Xuân, huyện Nhà Bè	UBND huyện Nhà Bè số 330 Nguyễn Bình, xã Phú Xuân, huyện Nhà Bè 	10.6743896	106.732963			  			
Nhiêu Lộc	95	Phường	88090	1.71	51514.62	Phường 9 (Quận 3), Phường 11 (Quận 3), Phường 12 (Quận 3), Phường 14 (Quận 3)		phường Xuân Hoà, phường Phú Nhuận, phường Tân Sơn Nhất, phường Vườn Lài, phường Hoà Hưng	UBND phường 9	số 82 Bà Huyện Thanh Quan, phường 9, quận 3	UBND phường 9 số 82 Bà Huyện Thanh Quan, phường 9, quận 3 	10.7815668	106.6821972			  			
Nhuận Đức	96	Xã	40239	62.06	648.4	Xã Nhuận Đức (H. Củ Chi), Xã Trung Lập Hạ (H. Củ Chi), Xã Phạm Văn Cội (H. Củ Chi)		xã Thái Mỹ, xã Tân An Hội, xã Củ Chi, xã Phú Hoà Đông, xã An Nhơn Tây và phường Tây Nam	UBND xã Nhuận Đức	ấp Ngã 4, xã Nhuận Đức, huyện Củ Chi	UBND xã Nhuận Đức ấp Ngã 4, xã Nhuận Đức, huyện Củ Chi 	11.0340967	106.4870629			  			
Phú An	97	Phường	46142	34.97	1319.47	Xã Phú An (TP. Bến Cát), Phường Tân An (TP. Thủ Dầu Một)	Phường Hiệp An (TP. Thủ Dầu Một)	phường Chánh Hiệp, phường Hoà Lợi, phường Thới Hoà, phường Long Nguyên, phường Tây Nam, xã Phú Hoà Đông và xã Bình Mỹ	UBND phường Hiệp An	số 143 Nguyễn Đức Cảnh, phường Hiệp An, TP.Thủ Dầu Một	UBND phường Hiệp An số 143 Nguyễn Đức Cảnh, phường Hiệp An, TP.Thủ Dầu Một 	11.0268507	106.638019			  			
Phú Định	98	Phường	150389	5.85	25707.52	Phường Xóm Củi (Quận 8), Phường 14 (Quận 8), Phường 15 (Quận 8)	Phường 16 (Quận 8)	phường Bình Đông, phường Bình Tiên, phường Bình Phú, phường Chánh Hưng, phường An Đông, phường Chợ Lớn, phường An Lạc và xã Tân Nhựt	UBND phường 16	số 450 Phú Định, phường 16, quận 8	UBND phường 16 số 450 Phú Định, phường 16, quận 8 	10.7119933	106.6235052	UBND phường 15	số 184 Lưu Hữu Phước, phường 15, quận 8	UBND phường 15 số 184 Lưu Hữu Phước, phường 15, quận 8 	10.7140522	106.6266761	
Phú Giáo	99	Xã	42739	192.83	221.64	Xã An Bình (H. Phú Giáo), Thị trấn Phước Vĩnh (H. Phú Giáo)	Xã Tam Lập (H. Phú Giáo)	xã Phước Thành, xã Phước Hoà, xã Bắc Tân Uyên và tỉnh Đồng Nai	UBND huyện Phú Giáo	đường Hùng Vương, khu Phố 2, huyện Phú Giáo	UBND huyện Phú Giáo đường Hùng Vương, khu Phố 2, huyện Phú Giáo 	11.2948527	106.7953959			  			
Phú Hoà Đông	100	Xã	97766	59.75	1636.25	Xã Tân Thạnh Tây (H. Củ Chi), Xã Tân Thạnh Đông (H. Củ Chi), Xã Phú Hoà Đông (H. Củ Chi)		xã Bình Mỹ, xã Củ Chi, xã Nhuận Đức, xã Xuân Thới Sơn, phường Tây Nam và phường Phú An	UBND xã Tân Thạnh Tây	số 269 tỉnh lộ 8, xã Tân Thạnh Tây, huyện Củ Chi	UBND xã Tân Thạnh Tây số 269 tỉnh lộ 8, xã Tân Thạnh Tây, huyện Củ Chi 	10.9848881	106.5593469			  			
Phú Lâm	101	Phường	87513	2	43756.5	Phường 12 (Quận 6), Phường 13 (Quận 6), Phường 14 (Quận 6)		phường Bình Tiên, phường Bình Phú và phường Bình Tây, phường An Lạc, phường Bình Trị Đông, phường Phú Thạnh, phường Tân Phú, phường Minh Phụng, phường Bình Thới	Quận đoàn quận 6	số 15 Chợ Lớn, phường 11, quận 6	Quận đoàn quận 6 số 15 Chợ Lớn, phường 11, quận 6 	10.745922	106.6340882			  			
Phú Lợi	102	Phường	107721	17.96	5997.83	Phường Phú Lợi (TP. Thủ Dầu Một), Phường Phú Hoà (TP. Thủ Dầu Một)	Phường Hiệp Thành (TP. Thủ Dầu Một)	phường Tân Khánh, phường Thuận Giao, phường Thủ Dầu Một, phường Chánh Hiệp, phường Thuận An và phường Bình Dương	UBND phường Phú Hòa	số 438 đường Phú Lợi, phường Phú Hoà, TP.Thủ Dầu Một	UBND phường Phú Hòa số 438 đường Phú Lợi, phường Phú Hoà, TP.Thủ Dầu Một 	10.9842866	106.6812449			  			
Phú Mỹ	103	Phường	78641	70.92	1108.87	Phường Mỹ Xuân (TP. Phú Mỹ), Phường Phú Mỹ (TP. Phú Mỹ)		phường Tân Thành, phường Tân Phước, xã Châu Pha, xã Thạnh An và tỉnh Đồng Nai	UBND TP Phú Mỹ	số 412 Độc Lập, phường Phú Mỹ, TP.Phú Mỹ	UBND TP Phú Mỹ số 412 Độc Lập, phường Phú Mỹ, TP.Phú Mỹ 	10.5905345	107.0480378			  			
Phú Nhuận	104	Phường	68420	1.46	46863.01	Phường 8 (Quận Phú Nhuận), Phường 10 (Quận Phú Nhuận), Phường 11 (Quận Phú Nhuận), Phường 13 (Quận Phú Nhuận)	Phường 15 (Quận Phú Nhuận)	phường Đức Nhuận, phường Cầu Kiệu, phường Nhiêu Lộc, phường Xuân Hoà, phường Tân Sơn Hoà	UBND quận Phú Nhuận	số 159 Nguyễn Văn Trỗi, phường 11, quận Phú Nhuận	UBND quận Phú Nhuận số 159 Nguyễn Văn Trỗi, phường 11, quận Phú Nhuận 	10.7951947	106.6752532			  			
Phú Thạnh	105	Phường	103780	2.99	34709.03	Phường Phú Thạnh (Quận Tân Phú), Phường Hiệp Tân (Quận Tân Phú)	Phường Tân Thới Hoà (Quận Tân Phú)	phường Phú Thọ Hoà, phường Tân Phú, phường Phú Lâm, phường Bình Trị Đông, phường Bình Hưng Hoà	UBND phường Phú Thạnh	số 275 Nguyễn Sơn, phường Phú Thạnh, quận Tân Phú.	UBND phường Phú Thạnh số 275 Nguyễn Sơn, phường Phú Thạnh, quận Tân Phú. 	10.783329	106.6242735			  			
Phú Thọ	106	Phường	65369	1.37	47714.6	Phường 11 (Quận 11), Phường 15 (Quận 11)	Phường 8 (Quận 11)	phường Bình Thới, phường Hoà Bình, phường Minh Phụng, phường Diên Hồng, phường Tân Hoà	UBND phường 13	số 233 - 235 Lê Đại Hành, phường 11, quận 11	UBND phường 13 số 233 - 235 Lê Đại Hành, phường 11, quận 11 	10.7639854	106.6555027			  			
Phú Thọ Hoà	107	Phường	140436	3.02	46501.99	Phường Phú Thọ Hoà (Quận Tân Phú)	Phường Tân Quý (Quận Tân Phú), Phường Tân Thành (Quận Tân Phú)	phường Tân Sơn Nhì, phường Phú Thạnh, phường Tân Phú và phường Bình Hưng Hoà	UBND phường Tân Thành	số 146 Độc Lập, phường Tân Thành, quận Tân Phú	UBND phường Tân Thành số 146 Độc Lập, phường Tân Thành, quận Tân Phú 	10.7923015	106.6333612			  			
Phú Thuận	108	Phường	84089	10.55	7970.52	Phường Phú Thuận (Quận 7)	Phường Phú Mỹ (Quận 7)	phường Tân Mỹ, phường Tân Thuận, phường Cát Lái và tỉnh Đồng Nai	UBND phường Phú Thuận	số 1203 Huỳnh Tấn Phát, phường Phú Thuận, quận 7	UBND phường Phú Thuận số 1203 Huỳnh Tấn Phát, phường Phú Thuận, quận 7 	10.7219017	106.7362644			  			
Phước Hải	109	Xã	43615	70.44	619.18	Thị trấn Phước Hải, Xã Phước Hội (H. Long Đất)		xã Đất Đỏ, xã Long Điền, xã Long Hải, xã Hồ Tràm và Biển Đông	UBND Xã Phước Hội	ấp Hội Mỹ, xã Phước Hội, huyện Long Đất	UBND Xã Phước Hội ấp Hội Mỹ, xã Phước Hội, huyện Long Đất 	10.4575552	107.2961953			  			
Phước Hoà	110	Xã	42470	128.07	331.61	Xã Vĩnh Hoà (H. Phú Giáo), Xã Phước Hoà (H. Phú Giáo)	Xã Tam Lập (H. Phú Giáo)	xã Bắc Tân Uyên, xã Phú Giáo, xã An Long, xã Phước Thành, phường Chánh Phú Hoà, phường Bình Cơ và phường Vĩnh Tân	UBND xã Vĩnh Hòa	đường ĐT 741, xã Vĩnh Hòa, huyện Phú Giáo	UBND xã Vĩnh Hòa đường ĐT 741, xã Vĩnh Hòa, huyện Phú Giáo 	11.2714178	106.777752			  			
Phước Long	111	Phường	137331	9.23	14878.76	Phường Phước Bình (TP. Thủ Đức), Phường Phước Long A (TP. Thủ Đức), Phường Phước Long B (TP. Thủ Đức)		phường Tăng Nhơn Phú, phường Long Trường, phường Thủ Đức và phường Bình Trưng	UBND phường Phước Long B	số 183 Đỗ Xuân Hợp, phường Phước Long B, TP.Thủ Đức	UBND phường Phước Long B số 183 Đỗ Xuân Hợp, phường Phước Long B, TP.Thủ Đức 	10.8262539	106.7690053			  			
Phước Thắng	112	Phường	52589	47.35	1110.64	Phường 11, Phường 12 (TP. Vũng Tàu)		phường Long Hương, phường Bà Rịa, phường Rạch Dừa, xã Long Sơn, xã Long Điền, xã Long Hải và Biển Đông	UBND Phường 12	số 7A Nguyễn Gia Thiều, phường 12, TP.Vũng Tàu	UBND Phường 12 số 7A Nguyễn Gia Thiều, phường 12, TP.Vũng Tàu 	10.4190791	107.1553756			  			
Phước Thành	113	Xã	15803	123.49	127.97	Xã An Thái (H. Phú Giáo), Xã Phước Sang (H. Phú Giáo), Xã Tân Hiệp (H. Phú Giáo)		xã Phú Giáo, xã Phước Hoà, xã An Long và tỉnh Đồng Nai	UBND xã Phước Sang	ấp Sa Dụp, xã Phước Sang, huyện Phú Giáo	UBND xã Phước Sang ấp Sa Dụp, xã Phước Sang, huyện Phú Giáo 	11.3612689	106.7715352			  			
Rạch Dừa	114	Phường	76281	19.7	3872.13	Phường 10, Phường Thắng Nhất, Phường Rạch Dừa (TP. Vũng Tàu)		phường Phước Thắng, phường Tam Thắng và Biển Đông	UBND Phường 10	số 219/28 Lưu Chí Hiếu, phường 10, TP.Vũng Tàu	UBND Phường 10 số 219/28 Lưu Chí Hiếu, phường 10, TP.Vũng Tàu 	10.3878235	107.1135027			  			
Sài Gòn	115	Phường	47022	3.04	15467.76	Phường Bến Nghé (Quận 1)	Phường Đa Kao (Quận 1), Phường Nguyễn Thái Bình (Quận 1)	phường Tân Định, phường Bến Thành, phường Cầu Ông Lãnh, phường Thạnh Mỹ Tây, phường An Khánh, phường Xuân Hoà	UBND quận 1	số 45 - 47 Lê Duẩn, phường Bến Nghé, quận 1	UBND quận 1 số 45 - 47 Lê Duẩn, phường Bến Nghé, quận 1 	10.7806307	106.6992978			  			
Tam Bình	116	Phường	153414	10.71	14324.07	Phường Bình Chiểu (TP. Thủ Đức), Phường Tam Bình (TP. Thủ Đức), Phường Tam Phú (TP. Thủ Đức)		phường Linh Xuân, phường Hiệp Bình, phường An Phú Đông và phường Bình Hoà, phường Dĩ An	UBND phường Bình Chiểu	số 934 tỉnh lộ 43, phường Bình Chiểu, TP.Thủ Đức	UBND phường Bình Chiểu số 934 tỉnh lộ 43, phường Bình Chiểu, TP.Thủ Đức 	10.8822543	106.7298218			  			
Tam Long	117	Phường	41130	34.7	1185.3	Phường Long Tâm (TP. Bà Rịa), Xã Hoà Long (TP. Bà Rịa), Xã Long Phước (TP. Bà Rịa)		phường Long Hương, phường Bà Rịa, xã Long Điền, xã Đất Đỏ và xã Nghĩa Thành	UBND xã Hòa Long	tỉnh lộ 52, ấp Đông, xã Hòa Long, TP.Bà Rịa	UBND xã Hòa Long tỉnh lộ 52, ấp Đông, xã Hòa Long, TP.Bà Rịa 	10.5217661	107.2078319			  			
Tam Thắng	118	Phường	86420	11.76	7348.64	Phường 7, Phường 8, Phường 9, Phường Nguyễn An Ninh (TP. Vũng Tàu)		phường Rạch Dừa, phường Vũng Tàu và biển Đông	UBND Phường Nguyễn An Ninh	số 603 Nguyễn An Ninh, phường Nguyễn An Ninh, TP.Vũng Tàu	UBND Phường Nguyễn An Ninh số 603 Nguyễn An Ninh, phường Nguyễn An Ninh, TP.Vũng Tàu 	10.3617608	107.0956814			  			
Tân An Hội	119	Xã	84342	53.51	1576.2	Xã Phước Hiệp (H. Củ Chi), Xã Tân An Hội (H. Củ Chi), Thị trấn Củ Chi (H. Củ Chi)		xã Củ Chi, xã Thái Mỹ, xã Nhuận Đức và tỉnh Tây Ninh	UBND huyện Củ Chi	số 77 tỉnh lộ 8, thị trấn Củ Chi, huyện Củ Chi	UBND huyện Củ Chi số 77 tỉnh lộ 8, thị trấn Củ Chi, huyện Củ Chi 	10.973855	106.4938982			  			
Tân Bình	120	Phường	89373	2.12	42157.08	Phường 13 (Quận Tân Bình), Phường 14 (Quận Tân Bình)	Phường 15 (Quận Tân Bình)	phường Tân Sơn, phường Bảy Hiền, phường Tân Sơn Hoà, phường Tây Thạnh, phường Tân Sơn Nhì và phường Tân Phú	UBND phường 13	số 40/19A Ấp Bắc, phường 13, quận Tân Bình	UBND phường 13 số 40/19A Ấp Bắc, phường 13, quận Tân Bình 	10.8017642	106.6425081			  			
Tân Định	121	Phường	48524	1.23	39450.41	Phường Tân Định (Quận 1)	Phường Đa Kao (Quận 1)	phường Sài Gòn, phường Gia Định, phường Cầu Kiệu, phường Xuân Hoà, phường Phú Nhuận	Quận uỷ quận 1	số 30 Phùng Khắc Khoan, phường Đa Kao, quận 1	Quận uỷ quận 1 số 30 Phùng Khắc Khoan, phường Đa Kao, quận 1 	10.7863759	106.6962997			  			
Tân Đông Hiệp	122	Phường	100243	21.47	4668.98	Phường Tân Bình (TP. Dĩ An)	Phường Tân Đông Hiệp (TP. Dĩ An), Phường Thái Hoà (TP. Tân Uyên)	phường An Phú, phường Dĩ An, phường Đông Hoà, phường Tân Khánh và tỉnh Đồng Nai	UBND phường Tân Bình	số 880 Nguyễn Thị Minh Khai, phường Tân Bình, TP.Dĩ An	UBND phường Tân Bình số 880 Nguyễn Thị Minh Khai, phường Tân Bình, TP.Dĩ An 	10.9367945	106.7661299			  			
Tân Hải	123	Phường	30297	51.86	584.17	Phường Tân Hoà (TP. Phú Mỹ), Phường Tân Hải (TP. Phú Mỹ)		phường Long Hương, phường Tân Phước, xã Châu Pha và xã Long Sơn	UBND Phường Tân Hải	quốc lộ 51, thôn Láng Cát, phường Tân Hải, TP.Phú Mỹ	UBND Phường Tân Hải quốc lộ 51, thôn Láng Cát, phường Tân Hải, TP.Phú Mỹ 	10.4996586	107.1025856			  			
Tân Hiệp	124	Phường	142494	47.06	3028	Phường Khánh Bình (TP. Tân Uyên), Phường Tân Hiệp (TP. Tân Uyên)		phường Tân Uyên, phường Bình Dương, phường Vĩnh Tân, phường Tân Khánh và phường Bình Cơ	UBND phường Tân Hiệp	khu phố Tân Bình, phườngTân Hiệp, TP.Tân Uyên	UBND phường Tân Hiệp khu phố Tân Bình, phườngTân Hiệp, TP.Tân Uyên 	11.0641319	106.7300361			  			
Tân Hoà	125	Phường	93437	1.47	63562.59	Phường 6 (Quận Tân Bình), Phường 8 (Quận Tân Bình), Phường 9 (Quận Tân Bình)		phường Tân Sơn Nhất, phường Bảy Hiền, phường Diên Hồng, phường Hoà Hưng, phường Hoà Bình, phường Phú Thọ	UBND phường 6	số 356A Bắc Hải, phường 6, quận Tân Bình	UBND phường 6 số 356A Bắc Hải, phường 6, quận Tân Bình 	10.7860657	106.6639307			  			
Tân Hưng	126	Phường	153674	8.54	17994.61	Phường Tân Phong (Quận 7), Phường Tân Hưng (Quận 7), Phường Tân Kiểng (Quận 7), Phường Tân Quy (Quận 7)		phường Tân Mỹ, phường Tân Thuận, phường Khánh Hội, phường Xóm Chiếu, phường Vĩnh Hội, phường Chánh Hưng, xã Bình Hưng và xã Nhà Bè	UBND phường Tân Hưng	số 9 đường 4A, phường Tân Hưng, quận 7	UBND phường Tân Hưng số 9 đường 4A, phường Tân Hưng, quận 7 	10.7440068	106.7006338			  			
